"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"724","Comedy","Josh Sneed","Baby Daddy","4kQB1PnctkM9RacNgsr4pd",13,0.783,0.598,258360,0.328,0,"A",0.972,-19.913,"Major",0.921,139.003,"5/4",0.539
"725","Comedy","Michael Ian Black","Guilty Pleasures","3dk9z0AlOEZDrYHTsaPa2K",23,0.823,0.565,195134,0.605,0,"D",0.701,-12.458,"Major",0.962,67.653,"5/4",0.533
"726","Comedy","Mitch Hedberg","The CD Jokes","4LINNjCUabfeeqKLvPv7Xg",32,0.542,0.423,156413,0.339,0.000128,"D",0.65,-13.563,"Major",0.511,85.762,"3/4",0.636
"727","Comedy","Dane Cook","Firemen & Policemen & Minature Golf Course Security Guard","6Iy8kWdv8BUKKwnMLqOz5s",28,0.638,0.55,127000,0.847,0,"A#",0.868,-10.536,"Minor",0.903,83.615,"4/4",0.529
"728","Comedy","Eddie Izzard","Shouting In English","3To5Ywrbcj57MdNKLjUOhJ",10,0.882,0.52,181907,0.534,0,"C#",0.911,-19.138,"Major",0.935,109.463,"5/4",0.344
"729","Comedy","Steve Hofstetter","Welcome To The Machine","6Z5NUZyEBHRvKC4je5A355",15,0.892,0.644,156947,0.415,0,"C",0.732,-14.813,"Major",0.933,89.694,"4/4",0.714
"730","Comedy","Jerry Seinfeld","Dirty Material","12ZIdN3zkmtdYsIwXHRNGg",12,0.784,0.628,77213,0.258,1.54e-06,"D",0.462,-17.158,"Minor",0.939,165.988,"3/4",0.351
"731","Comedy","Comedian Bob Marley","Daddy's Dirty Lincoln","1RS8OC1hrN4Opj9buHPfcH",13,0.928,0.509,67667,0.88,0,"F#",0.938,-9.588,"Minor",0.911,142.741,"4/4",0.417
"732","Comedy","Fran Hevia","Luz / Mujeres / Sanborns / 420","57Btca2d9BLyMMrNkLX2CS",26,0.819,0.57,294666,0.509,0,"F",0.687,-14.709,"Major",0.943,143.218,"4/4",0.566
"733","Comedy","Doug Benson","The Audience Is Tweeting","0qz7JDHEq3yLC8us6w1onn",20,0.842,0.465,369467,0.943,0,"C#",0.709,-6.063,"Major",0.944,102.358,"5/4",0.28
